Size,Site,Rainfall_min,Rainfall_max,Category,normd15N
-0.468215899,TBR,-1.284535419,-0.187663283,barley,6.54297359
-0.468215899,TBR,-1.284535419,-0.187663283,wheat,5.59665312
-0.468215899,TBR,-1.284535419,-0.187663283,barley,5.155554154
-0.468215899,TBR,-1.284535419,-0.187663283,barley,5.182331795
-0.468215899,TBR,-1.284535419,-0.187663283,wheat,4.056091736
-0.468215899,TBR,-1.284535419,-0.187663283,barley,5.619591912
-0.468215899,TBR,-1.284535419,-0.187663283,wheat,4.617236091
-0.468215899,TBR,-1.284535419,-0.187663283,barley,4.795445346
-0.468215899,TBR,-1.284535419,-0.187663283,wheat,4.756208631
-0.468215899,TBR,-1.284535419,-0.187663283,barley,7.650420173
-0.468215899,TBR,-1.284535419,-0.187663283,barley,8.426507793
-0.468215899,TBR,-1.284535419,-0.187663283,barley,7.85247399
-0.468215899,TBR,-1.284535419,-0.187663283,barley,5.218475039
-0.468215899,TBR,-1.284535419,-0.187663283,wheat,4.457840144
-0.468215899,TBR,-1.284535419,-0.187663283,barley,5.064978106
-0.468215899,TBR,-0.884025525,-0.503930601,barley,5.883827005
-0.468215899,TBR,-0.884025525,-0.503930601,barley,5.031452946
-0.468215899,TBR,-0.884025525,-0.503930601,barley,2.879218923
0.112520346,TBR,-0.884025525,-0.187663283,barley,7.136286961
0.112520346,TBR,-0.884025525,-0.187663283,barley,5.603114723
0.112520346,TBR,-0.884025525,-0.187663283,barley,6.553497694
0.112520346,TBR,-0.884025525,-0.187663283,barley,4.721707965
0.112520346,TBR,-0.884025525,-0.187663283,barley,5.092952825
0.112520346,TBR,-0.884025525,-0.187663283,barley,7.500366188
0.112520346,TBR,-0.884025525,-0.187663283,barley,5.515088271
-0.468215899,TBR,-0.884025525,-0.657566036,barley,7.100647829
0.112520346,TBR,-0.884025525,-0.503930601,barley,8.36047744
0.112520346,TBR,-0.884025525,-0.503930601,barley,6.720968766
0.112520346,TBR,-0.884025525,-0.503930601,barley,10.47578255
-0.468215899,TBR,-0.884025525,-0.657566036,barley,4.514317078
0.112520346,TBR,-0.884025525,-0.503930601,barley,2.696708825
-0.468215899,TBR,-0.884025525,-0.657566036,barley,4.597459741
-0.468215899,TBR,-0.884025525,-0.657566036,wheat,3.804459605
-0.468215899,TBR,-0.884025525,-0.657566036,barley,5.70135645
-0.468215899,TBR,-0.884025525,-0.657566036,barley,5.228493483
-0.468215899,TBR,-0.884025525,-0.657566036,barley,6.380033085
-0.468215899,TBR,-0.884025525,-0.657566036,wheat,4.485232174
0.112520346,TBR,-0.884025525,-0.503930601,barley,5.895532442
-0.468215899,TBR,-0.884025525,-0.657566036,barley,4.594837731
-0.468215899,TBR,-0.884025525,-0.657566036,barley,6.22291605
0.112520346,TBR,-0.884025525,-0.503930601,barley,9.761725484
0.112520346,TBR,-0.884025525,-0.503930601,barley,2.744907459
0.112520346,TBR,-0.884025525,-0.503930601,barley,4.092942304
0.112520346,TBR,-0.884025525,-0.503930601,barley,2.284081452
0.112520346,TBR,-0.884025525,-0.503930601,barley,2.372373571
0.112520346,TBR,-0.884025525,-0.503930601,wheat,4.427609741
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,5.673004547
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,8.919637448
-0.235921401,TBR,-0.604953316,-0.31678014,barley,7.963467313
-0.235921401,TBR,-0.604953316,-0.31678014,wheat,6.38401876
